Term	PValue
GO:0022613	1.28378670266427e-08
GO:0042254	1.07648331841291e-06
GO:0016072	1.52416335801311e-05
GO:0006364	1.52416335801311e-05
GO:0034660	2.44900583461844e-05
GO:0034470	0.000156386857057142
GO:0071840	0.000345232291068999
GO:0010467	0.000539695358141034
GO:0044085	0.000648428842894805
GO:0006413	0.000915342638047479
GO:0034641	0.00109477536796256
GO:0006412	0.00148922913659687
GO:0043043	0.00170840422922193
GO:0042273	0.00243405493924401
GO:0006807	0.00272004367346309
GO:0000462	0.0032039105174661
GO:1990542	0.0032039105174661
GO:0030490	0.0032039105174661
GO:0006396	0.00323229547933564
GO:0043604	0.00325614848553904
GO:1901566	0.00463829549324374
GO:0044260	0.00467050506875768
GO:1902582	0.00542906745443329
GO:0006518	0.00582686178498589
GO:0043603	0.00625452567890961
GO:0042274	0.00757231255197933
GO:0017038	0.00834481665585332
GO:0006839	0.00834481665585332
GO:0043170	0.00849740249856115
GO:0022618	0.0112169963331772
GO:0007005	0.0112169963331772
GO:0071826	0.0112169963331772
GO:0001731	0.011423708200188
GO:0065002	0.0187016773132487
GO:0044743	0.0187016773132487
GO:0071806	0.0187016773132487
GO:0051246	0.0195909433734889
GO:0016070	0.0224301597899526
GO:0070585	0.0280003373907188
GO:0006626	0.0280003373907188
GO:0072655	0.0280003373907188
GO:0044267	0.0319360859932157
GO:0044271	0.0336479267965249
GO:0032268	0.0364703389334312
GO:0090304	0.0415328015645776
GO:0030150	0.0422907014737466
GO:0044237	0.0444444179020758
GO:0006457	0.0476690041804326
GO:1901564	0.0485989674777446
GO:0046483	0.0497092812291568
GO:0019538	0.0500523942165165
GO:0006139	0.0507341137947852
GO:0006417	0.0525864965213431
GO:0010608	0.0525864965213431
GO:0071704	0.05624051871646
GO:0006725	0.0566077530919661
GO:1902580	0.0652677050423491
GO:0044238	0.0662199730222556
GO:0000469	0.0664128081654458
GO:0051345	0.0664128081654458
GO:0009894	0.0677231505989183
GO:0034248	0.0677231505989183
GO:0006605	0.0696523787244233
GO:0072594	0.0696523787244233
GO:1901360	0.0696821580197719
GO:0006446	0.0939073581480115
GO:0090501	0.0939073581480115
GO:0000470	0.0939073581480115
GO:0032543	0.0939073581480115
