Term	PValue
GO:0005730	1.67374885089375e-07
GO:0031974	8.06334774771229e-06
GO:0030529	1.80028697757659e-05
GO:1990904	1.80028697757659e-05
GO:0030684	9.91666546322085e-05
GO:0070013	0.000118124322143462
GO:0043233	0.000118124322143462
GO:0031981	0.000340406569165302
GO:0032991	0.00085019334395673
GO:0044428	0.00114871560383011
GO:0043228	0.00170366748484967
GO:0043232	0.00170366748484967
GO:0044452	0.00269248384374075
GO:0070993	0.00533594758057509
GO:0033290	0.00533594758057509
GO:0005622	0.0102614171743749
GO:0005762	0.0164389544367294
GO:0022624	0.0164389544367294
GO:0000315	0.0164389544367294
GO:0098798	0.0226798266533136
GO:0044424	0.0245337395510613
GO:0043234	0.0271607934157396
GO:0005634	0.0295663138117362
GO:0005623	0.0312313515323305
GO:0044429	0.0367304411032758
GO:0016282	0.0386764285875945
GO:0005852	0.0386764285875945
GO:0000502	0.0466401770141748
GO:0005615	0.0552107570352963
GO:0005732	0.0609034159255228
GO:0005739	0.0672486621536001
GO:0044446	0.0779962793549005
GO:0044422	0.0837721368399454
GO:0032040	0.0863495763095724
GO:0005838	0.0863495763095724
GO:0005758	0.0863495763095724
GO:0031970	0.0863495763095724
