Term	PValue
GO:0051246	0.000748478606332938
GO:0032268	0.00251416507130209
GO:0052548	0.00573161974869337
GO:0052547	0.00573161974869337
GO:0006396	0.00699134016476281
GO:0034470	0.00903511454879433
GO:0009894	0.0108171069554384
GO:0030162	0.0139723107480505
GO:0034660	0.0155739469881604
GO:0006457	0.0167714362142978
GO:0000470	0.0262754383112119
GO:0022613	0.0277185152539116
GO:0044260	0.0308313238360226
GO:0044743	0.0357430397686683
GO:0071806	0.0357430397686683
GO:0065002	0.0357430397686683
GO:0042273	0.0368808122579726
GO:0006364	0.0369086690491261
GO:0016072	0.0369086690491261
GO:0043170	0.0425487881622437
GO:0044267	0.045172292364665
GO:0006626	0.046310984971109
GO:0070585	0.046310984971109
GO:0072655	0.046310984971109
GO:1990542	0.046310984971109
GO:0009451	0.0493588707702285
GO:0042254	0.058521557904805
GO:0010467	0.0589385208233296
GO:0019538	0.0607955822937131
GO:0048522	0.0630198946271381
GO:0048518	0.0630198946271381
GO:0051247	0.0636421666583249
GO:0032270	0.0636421666583249
GO:0006412	0.0670226340117178
GO:0006417	0.0703021579546118
GO:0051336	0.0703021579546118
GO:0042981	0.0703021579546118
GO:0031329	0.0703021579546118
GO:0006839	0.0703021579546118
GO:0010608	0.0703021579546118
GO:0042176	0.0703021579546118
GO:0043067	0.0703021579546118
GO:0017038	0.0703021579546118
GO:0010941	0.0703021579546118
GO:0006413	0.0703021579546118
GO:0043043	0.0707147180060305
GO:0034641	0.0726807269507838
GO:0043603	0.0773959255241043
GO:0006807	0.0795048211667003
GO:0034248	0.0835210581766971
GO:0044085	0.0842575246702798
GO:0010810	0.087612545181153
GO:0043281	0.087612545181153
GO:0040012	0.087612545181153
GO:2000116	0.087612545181153
GO:0001952	0.087612545181153
GO:0040017	0.087612545181153
GO:0051492	0.087612545181153
GO:0010952	0.087612545181153
GO:2000145	0.087612545181153
GO:0030155	0.087612545181153
GO:0030334	0.087612545181153
GO:2000147	0.087612545181153
GO:0030335	0.087612545181153
GO:0032231	0.087612545181153
GO:0051270	0.087612545181153
GO:0051272	0.087612545181153
GO:0031589	0.087612545181153
GO:0010950	0.087612545181153
GO:0043604	0.0910131254051877
