Term	PValue
GO:0098798	1.48632704133823e-07
GO:0098800	2.20480101296712e-05
GO:0044455	3.29372669514892e-05
GO:0030529	0.000190249117722018
GO:1990904	0.000190249117722018
GO:0005730	0.0004831112626177
GO:0030684	0.000490428806094418
GO:0031967	0.00107224331371128
GO:0031975	0.00107224331371128
GO:0005576	0.00111273081779676
GO:0098796	0.00127015126591952
GO:0005740	0.00215242728995722
GO:0005746	0.00317633193231285
GO:0032991	0.00318748793205803
GO:0019866	0.00323013141530769
GO:0044459	0.00363264829539249
GO:0005887	0.00363596372695358
GO:0031226	0.00363596372695358
GO:0005743	0.00687134617768686
GO:0005840	0.00736729178332753
GO:0031966	0.00804119614589751
GO:0022624	0.010245542290315
GO:0000502	0.0152849757618456
GO:0098803	0.0152849757618456
GO:0044421	0.0186360002442843
GO:0070469	0.0199556931313793
GO:0005615	0.0201918866083124
GO:0044429	0.0214110566739183
GO:0043232	0.0226877446376993
GO:0043228	0.0226877446376993
GO:0071944	0.0228737472644116
GO:0005886	0.0251397366415749
GO:0031090	0.030359476299077
GO:0005838	0.0315729904890199
GO:0032040	0.0315729904890199
GO:0044444	0.0332809994727213
GO:0022626	0.0414670357325143
GO:0016469	0.0647691744053534
GO:0022627	0.0648556751621161
GO:0044391	0.0711791228506052
GO:0005737	0.0829431219828788
GO:0070069	0.0914723776596089
GO:0044452	0.0979916166208855
