Term	PValue
GO:0031224	1.77193958953601e-06
GO:0016021	7.06977553039875e-06
GO:0016020	1.02108484276398e-05
GO:0031226	1.35107284571507e-05
GO:0005887	1.35107284571507e-05
GO:0044425	1.91045509768439e-05
GO:0071944	3.05330871842111e-05
GO:0044459	5.36048880474008e-05
GO:0005886	0.000111363624178152
GO:0005576	0.0470636324818298
