Term	PValue
GO:0030529	0.00012378876871866
GO:1990904	0.00012378876871866
GO:0005615	0.000614654584866639
GO:0032991	0.000801773539504603
GO:0044421	0.00206417614106432
GO:0022624	0.00274539712891972
GO:0005730	0.00430932800478159
GO:0005576	0.00603585257591453
GO:0000502	0.0085342425976215
GO:0005732	0.0186155105712735
GO:0005758	0.0271127331830146
GO:0005838	0.0271127331830146
GO:0031970	0.0271127331830146
GO:0030684	0.0275158085811291
GO:0043228	0.0290579912374548
GO:0043232	0.0290579912374548
GO:0044424	0.0544798458344684
GO:0031974	0.0635623884174217
GO:0043234	0.0715734689281953
GO:0072588	0.0889469108007045
GO:0031429	0.0889469108007045
GO:0042555	0.0889469108007045
GO:0005697	0.0889469108007045
