Term	PValue
GO:0022892	0.00265657870235201
GO:0022891	0.00341474997979057
GO:0008135	0.00411068221940023
GO:0060089	0.00546582978365662
GO:0004872	0.00546582978365662
GO:0005198	0.01041632944618
GO:0022857	0.0136980466119912
GO:0003735	0.0145311958125368
GO:0003723	0.0211484336082314
GO:0008565	0.0221195475956641
GO:0038023	0.0221236052039067
GO:0004930	0.0303190213152751
GO:0005215	0.0325215858009272
GO:0099600	0.0326272401238077
GO:0004888	0.0354765155448818
GO:0003743	0.0442486105640386
GO:0015077	0.0526170600731197
GO:0015078	0.0599243990455336
GO:0022804	0.0652202993709617
GO:0015075	0.0717932607884481
GO:0004871	0.078955059056822
GO:0030594	0.0916918001946774
GO:0005342	0.098277642159145
GO:0046943	0.098277642159145
