Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR	description
MF	GO:0060089	12	3.23450134770889	2.22537237532994e-05	100889243, 755668, 373431, 100889710, 373211, 105439410, 100888815, 576823, 100890002, 100891263, 593532, 591159	54	62	1277	4.57706093189964	0.00410852154034835	0.00410852154034835	0.0275328861911728	molecular transducer activity
MF	GO:0004872	12	3.23450134770889	2.22537237532994e-05	100889243, 755668, 373431, 100889710, 373211, 105439410, 100888815, 576823, 100890002, 100891263, 593532, 591159	54	62	1277	4.57706093189964	0.00410852154034835	0.00410852154034835	0.0275328861911728	receptor activity
MF	GO:0004871	8	2.15633423180593	0.0118745055260164	100889243, 755668, 100889710, 105439410, 100888815, 100890002, 100891263, 593532	54	62	1277	3.05137395459976	0.890291733759238	0.308105478272275	13.740708931007	signal transducer activity
MF	GO:0016491	10	2.69541778975741	0.0250027189493051	585244, 588806, 589643, 577198, 584105, 414330, 575697, 2652716, 583933, 586173	54	105	1277	2.25220458553792	0.990760896122761	0.487875335018073	26.8978684172609	oxidoreductase activity
MF	GO:0005044	3	0.808625336927224	0.0403161652740338	373431, 373211, 576823	54	8	1277	8.86805555555556	0.999506015641579	0.613887243947687	39.9023901013417	scavenger receptor activity
MF	GO:0038024	3	0.808625336927224	0.0403161652740338	373431, 373211, 576823	54	8	1277	8.86805555555556	0.999506015641579	0.613887243947687	39.9023901013417	cargo receptor activity
MF	GO:1901618	2	0.539083557951483	0.0813156815909593	589852, 105438270	54	2	1277	23.6481481481481	0.999999846620933	0.825070562732351	64.9872485332981	organic hydroxy compound transmembrane transporter activity
MF	GO:0052689	3	0.808625336927224	0.0854984809887196	762935, 757121, 591159	54	12	1277	5.91203703703704	0.999999934064429	0.808613201803345	66.9095326131904	carboxylic ester hydrolase activity
MF	GO:0004497	3	0.808625336927224	0.0984290445609331	589643, 414330, 575697	54	13	1277	5.45726495726496	0.999999995268664	0.82494265302827	72.2555104148823	monooxygenase activity
